id,content,year
228,"Flint River at Gibson Island, southwest of Thomaston, Georgia__no.0228, 2019.",2019
229,"Shallow “Bresser Lake” on Thunder Bay River before emptying into Lake Huron at Alpena, Michigan. Major water concerns: old and proposed oil pipelines in the Great Lakes__no.0229, 2019. #GreatLakes",2019
230,"The Lake of the Ozarks in south central Missouri is 94 miles in length__no.0230, 2019. #reservoirs",2019
231,"Rock Island, now known as Arsenal Island, is the largest island on the Mississippi River. located between Illinois and Iowa, it is home to the largest government owned weapons manufacturing arsenal in the U.S.__no.0231, 2019. ",2019
232,"Fort Peck Dam, an earthen dam in Montana, is the highest of 6 major dams along the Missouri River. It is said to be both an engineering marvel and a disaster waiting to happen__no.0232, 2019.",2019
233,"The Elwha River in Washington state’s Olympic National Park, site of the largest dam removal project in history deemed necessary in order to restore the altered ecosystem__no.0233, 2019. #damremoval #ecosystemrestoration ",2019
234,"The Molalla River in Oregon provides clean drinking water to Molalla and Canby residents__no.0234, 2019.",2019
235,"Discoveries along the banks of Walnut River in Arkansas City, Kansas, have revealed the vast Lost City of Etzanoa, home to ancestors of the Wichita Tribe__no.0235, 2019. #ancientrelics",2019
236,"Located along the Cape Fear River in North Carolina, The Chemours Company has been receiving toxic materials from outside the U.S. to be “disposed of” in the U.S. where regulations are more “lax”__no.0236, 2019. #chemicaldisposal #toxicwaste #governmentregulations",2019
237,"Des Plaines River in Joliet, Illinois. Coal ash storage in a quarry near the river shows arsenic at 23x and boron at 7x higher than EPA thresholds__no.0237, 2019. #coalashdisposal #toxicminerals #watercontamination",2019
238,"The Havasu National Wildlife Refuge on the Arizona at California border is within the Pacific Flyway, a major north-south migratory route along the west coast of the U.S.__no.0238, 2019. #Southwest #wildlifemigration #Pacificcoast",2019
239,"The Gila River in New Mexico is the 2019 #1 “Most Endangered” River according to the organization American Rivers…”The Gila is threatened by a massive water diversion project that could drain a significant amount of water from the river and leave downstream communities, farms and wildlife high and dry”__no.0239, 2019. #endangeredrivers",2019
240,"Several options are on the table for placing storm surge barriers on New York’s Hudson River. The advocacy group American Rivers wants to make sure that climate change impacts beyond storm surge, such as sea level rise, are addressed in an environmentally sustainable way, as part of this planning effort on the Hudson__no.0240, 2019. #NewYork #stormsurge #sustainability",2019
241,"The Stikine River in Alaska is fed by dozens of glaciers. John Muir, founder of the Sierra Club, called the Stikine “a Yosemite 100 miles long”__no.0241, 2019. ",2019
242,"Sahara camel drool__no.0242, 2019.",2019
243,"The Big Darby Creek in Ohio is a pristine stream in need of protection according to American Rivers in 2019…The Nature Conservancy designates Big and Little Darby Creeks a “Last Great Place”__no.0243, 2019.",2019
244,"Buffalo National River in Arkansas…an industrial hog-farming facility is polluting nearby groundwater and threatening endangered species__no.0244, 2019. #waterpollution",2019
245,"Chilkat River, Alaska…”The Japanese investment firm, DOWA, must do the responsible thing and back out of a mining project that could decimate native salmon”—American Rivers__no.0245, 2019. #pollutionrisk ",2019
246,"WIllamette River in South Portland, Oregon…13 Willamette dams need improvement to save wild chinook salmon and steelhead from extinction__no.0246, 2019. #dams ",2019
247,"Upper Mississippi at Shanks Conservation Area, north of Louisiana, Missouri…illegal levies in the larger 4-state region increase flood risk for others__no.0247, 2019. #MississippiRiver #levies #floodrisk",2019
248,"Sainte-Marthe-sur-le-lac, Quebec, west of Montreal, Canada; Flooding from the Ottawa River leading into Lake of Two Mountains leads to a broken dike and massive flooding, late April, 2019__no.0248, 2019.",2019
249,"Colorado River on the Arizona/Nevada border__no.0249, 2019.",2019
250,"Iran’s once rich wetlands between the Tigris and Euphrates Rivers near the city of Basrah…are drying__no.0250, 2019. #Drought #Iran #Mideast ",2019
251,"Tropical Cyclone Kenneth is the second major cyclone to strike at Mozambique in 2019__no.0251, 2019. #Africa ",2019
252,"Still healing, the Elwha River on the Olympic Peninsula in the U.S. state of Washington had the largest dam removal in U.S. history in 2014. Shifting sediment at the mouth of the river, has created Washington’s newest sandy beach at the Strait of Juan de Fuca__no.0252, 2019. #damremoval #unexpectedconsequences",2014
253,"Southwest Florida’s Rookery Bay National Estuarine Research Reserve (Naples) represents one of the few remaining undisturbed mangrove estuaries in North America__no.0253, 2019.  #mangrove #GulfofMexico ",2019
254,"Confluence of the Mississippi River and the Missouri River, north of Saint Louis, Missouri__no.0254, 2019. ",2019
255,"The Indus River is the primary source for fresh water in Pakistan; the river is suffering from diversion, drought and overuse as the population expands__no.0255, 2019. #waterdiversion #populationimpact #Asia",2019
256,"Amu Darya River near Baymaklyaul in western Uzbekistan; the river no longer reaches the once-vast Aral Sea due to inefficient irrigation canals installed for agriculture decades ago__no.0256, 2019.  #Asia #canals #watershortages ",2019
257,"Kansas River at the Wakarusa River, north of Eudora, Kansas__no.0257, 2019.",2019
258,"Mississippi River at Batchtown State Fish and Waterfowl Management Area; (Illinois)__no.0258, 2019.",2019
259,"Here the Colorado River flows between California and Arizona, near Yuma, on it’s way to the border with Mexico__no.0259, 2019. #Southwest",2019
260,"Colorado River in Grand County, Utah, named after the river by it’s former name “Grand River”; nearby are McGraw Bottom, Sager’s Wash and Owl Draw__no.0260, 2019.",2019
261,"Bundy Lake at the Illinois River, just prior to confluence with the Mississippi River and northwest of Saint Louis, Missouri__no.0261, 2019.",2019
262,"Nemadji River northwest of Pattison State Park in Wisconsin__no.0262, 2019.",2019
263,"The Svalbard Global Seed Vault is on the Norwegian island of Spitsbergen in the Svalbard Archipelago, between Norway and the North Pole__no.0263, 2019. #Arcticocean #Seedvault",2019
264,"Pond at an Enbridge Cushing Terminal, Cushing, Oklahoma, known as a “crude oil hub”__no.0264, 2019.  #oilindustry",2019
265,"Mahakem River Delta, East Kalimantan, Indonesia (Island of Borneo). At Samarinda__no.0265, 2019.  #Oceana #Asia",2019
266,"Missouri River at Easley, Missouri, and adjacent to Plowboy Bend Conservation Area__no.0266, 2019.",2019
267,"Torres Strait Islands, off the northern tip of Queensland, Australia, and south of Papua New Guinea. Climate-threatened Torres Strait Islanders bring human rights claim against Australia related to rising waters and loss of land__no.0267, 2019. #risingwaters #climatechange #humanrights",2019
268,"McKisic Creek at Bella Vista Lake Park, north of Bentonville, Arkansas__no._0268, 2019.",2019
269,"Watertown, South Dakota’s spillway at Lake Kampeska, where rains forced flooding into the neighborhoods below in May of 2019__no.0269, 2019.",2019
270,"The Arkansas River, west of Tulsa, Oklahoma…May 2019: The earthen Keystone Dam releases “the largest amount of water in 21 years” amid flooding risk__no.0270, 2019.",2019
271,"Mississippi and Atchafalaya Rivers above Baton Rouge, LA at Red River Landing and Morganza Spillway, utilized when the Mississippi is unusually high. (May 30, 2019)__no.0271, 2019.",2019
272,"Catskill Creek, New York (after Hudson Valley painter, Thomas Cole painting, 1845)__no.0272, 2019.",2019
273,"Verdigris River at Okay, Oklahoma__no.0273, 2019.",2019
274,"Dnieper River overflow configurations, Ukraine, immediately south of border with Belarus__no.0274, 2019. ",2019
275,"Four Mile Run River meets the Potomac River south of Ronald Reagan Washington National Airport__no.0275, 2019.  #WashingtonDC",2019
276,"Spokane River west of Spokane, Washington, and bordering Spokane Reservation…May 11, 2019, “EPA announces it will lower PCB standards in the Spokane River”__no.0276, 2019. #waterstandards",2019
277,"Waterloo, Iowa’s Cedar River at San Souci Island and Cedar Bend Park__no.0277, 2019",2019
278,"Naugatuck River at Mad River in Waterbury, Connecticut__no.0278, 2019.",2019
279,"Santa Ana River at Riverside, California__no.0279, 2019 #Pacificcoast",2019
280,"Glacier melt:  “Glacier, granite and sand, about 30 miles south of Nuuk, Greenland.”—adapted from Instagram post, June 7, 2019, Henry Fountain, NYTimes__no.0280, 2019.",2019
281,"Plum Island, northern Massachusetts coast__no.0281, 2019.",2019
282,"Manmade waters configuration at residential neighborhood of Long Neck, Delaware, Indian River Bay__no.0282, 2019.  #eastcoast",2019
283,"Southwest Florida coast at Cape Coral and Fort Myers. Pollution from multiple sources, as well as warming coastal waters and natural conditions, have combined to create unhealthy water conditions for wildlife and people__no.0283,2019. #GulfofMexico #climatechange #waterpollution",2019
284,"Hatkarwadi, India…”a speck on the map” west of Beed in the Maharashhtra region. The earth is brown and cracked. Only two of the 35 wells have some water left. The (nearest) Godavari River is running dry. Rainy season comes soon, hopefully. (Late May, 2019)__no.0284, 2019.  #Asia #Drought #climatechange",2019
285,"Mawddach River in Wales. The low-lying coastal town of Fairbourne is contending with the prospect of water from all sides__no.0285, 2019. #UnitedKingdom #risingwaters #climatechange",2019
286,"East coast islands between Brisbane and Gold Coast, Australia, in South East  Queensland, include Eden Island, Kangaroo Island, Crusoe Island Cobby Cobby Island and Stingaree Island__no.0286, 2019.",2019
287,"The Simpson Desert in South Australia, contains the world’s longest parallel sand dunes, held in position by vegetation. The desert is underlain by the Great Artesian Basin, one of the largest inland drainage areas in the world__no.0287, 2019. #desert",2019
288,"In the arid southern part of Australia’s Northern Territory, the “Ghan” tourist train through the outback is named in recognition of the important role the Afghans and their camels played in opening up central Australia__no.0288, 2019. #camels",2019
289,"(Ephemeral) Lake Mackay on the border between Australia’s states of Northern Territory and Western Australia. Nearby, plans are underway for Australia’s first pot ash mine__no.0289, 2019. #Australia",2019
290,"Rogue River, Rockford, Michigan. Citizen sleuths cracked the Wolverine Tannery groundwater pollution case__no.0290, 2019. #Michigan #waterpollution #citizensleuths",2019
291,"Unknown_no.0291, 2019. ",2019
292,"Colorado River between Antlers and New Castle, Colorado, and including Dry Hollow Creek, Rising Sun Ditch and Last Chance Ditch__no.0292, 2019.",2019
293,"Rookery Bay National Estuarine Research Reserve, Naples, Marco Island, Florida, represents one of the few remaining undisturbed mangrove estuaries in North America.  (#NOAA)__no.0293, 2019. #GulfofMexico",2019
294,"Sea ice in northeast Greenland looked more like a lake of ankle deep water for a dogsled team and science crew heading out to retrieve scientific equipment —AP photo by Steffen M. Olsen, June 13, 2019.__no.0294, 2019. #scientificresearch #climatechange #warmingwaters",2019
295,"Rainy River at Little Fork River in Superior National Forest region, northern Minnesota at the Canadian border. Proposed copper-nickel mining near the Boundary Waters Canoe Area Wilderness is within the watershed of the Rainy River__no.0295, 2019. #miningthreat #toxicminerals #watercontamination #Canada #Boundarywaters",2019
296,"Shallow impoundment area of the Thunder Bay River, Alpena, Michigan on Lake Huron__no.0296, 2019. #GreatLakes",2019
297,"Rio Armeria north of Tecoman, Colima, near the west coast of Mexico__no.0297, 2019. #Pacificcoast",2019
298,"Magdalena River at Barranquilla, Colombia, on the Caribbean__no.0298, 2019. #SouthAmerica",2019
299,"Rio Aguan, west of Tocoa in the country of Honduras__no.0299, 2019  #CentralAmerica",2019
300,"The Bahamas, southeastern islands, near George Town__no.0300, 2019. #AtlanticOcean #Islands #Bahamas",2019
301,"Mississippi’s entire coast at the Gulf of Mexico is declared hazardous for swimming and fishing due to toxic algae blooms exacerbated by warming gulf waters and agricultural runoff from midwestern states carried south by the Mississippi River__no.0301, 2019. #GulfofMexico #warmingwaters #climatechange #waterpollution #agriculturalrunoff #algaeblooms #hazardwarnings",2019
302,"Cape Fear River at Wilmington, North Carolina__no.0302, 2019. #Eastcoast #NorthCarolina",2019
303,"Cape Fear River at Old Town in North Carolina. It’s been two years since residents of the region learned of toxic industrial chemicals in their water, but they remain in the dark on mitigation plans__no.0303, 2019. #NorthCarolina #Eastcoast #watercontamination #chemicalcontamination #hazardouschemicals ",2019
304,"Qiantang River at the East China Sea is one of the world’s three major tidal rivers along with the Ganges and the Amazon Rivers__no.0304, 2019. #tidalrivers #Asia",2019
305,"Tears__no.0305, 2019",2019
306,"Kuskokwim River in southwestern Alaska: July 15, 2019 reports of dead salmon with abnormally high regional temperatures. Salmon need temperatures to be below 70 degrees__no.0306, 2019. #Alaska #climatechange #abnormaltemperatures",2019
307,"Clear Lake is California’s largest freshwater lake. In the summer of 2019 there are growing concerns about algae blooms in the lake__no.0307, 2019. ",2019
308,"Greers Ferry Lake is a 40,000 acre water playground in the foothills of the Ozarks of north central Arkansas__no.0308, 2019. ",2019
309,"The Pushal water reservoir on the outskirts of Chennai, India, is dry.—Washington Post, June 28, 2019: “As a major Indian city runs out of water, 9 million people pray for rain.”__no.0309, 2019.  #watershortage #drought #climatechange",2019
310,"Penobscot River at South Lincoln, Maine. The river is home to the largest Atlantic salmon run remaining in the U.S. (source: American Rivers)__no.0310, 2019.",2019
311,"Michigan’s Chippewa Creek and Twin Creek are dropping and the trout have disappeared as Nestle pumps groundwater for “Ice Mountain Spring Water” for a mere 200.00 yearly permit.(Natural Resources Defense Council, June 2019)__no.0311, 2019. #Michigan ",2019
312,"Pigeon River in the Smoky Mountains near North Carolina/Tennessee border: NASA-funded study of “cloud forests” and future consequences as clouds lift in altitude with climate change__no.0312, 2019. #NorthCarolina #cloudforests #NASAstudy",2019
313,"Maramec Spring in Missouri is fed by streams and creeks. The spring discharges nearly 100 million gallons of water daily into the Meramec River, the primary source of drinking water for over 200,000 people__no.0313, 2019.",2019
314,"Iceland islands of Oxney, Brokey, and Olafsey in the western region__no.0314, 2019 ",2019
315,"Madeline Island, Apostle Islands, Chequamegon Bay, LakeSuperior; “La Pointe passes resolution supporting the shut down of Enbridge LIne 5 and all pipelines in the Great Lakes”—Wisconsin Citizens Media Cooperative, August 28, 2019.__no.0315, 2019. #oilpipelines #waterprotectors #Wisconsin ",2019
316,"Fires in the Amazon rainforest, late summer, 2019__no.0316, 2019. #Wildfires #SouthAmerica ",2019
317,"Kuskokwim River within Alaska’s Yukon Delta National Wildlife Refuge__no.0317, 2019. #Alaska  ",2019
318,"Emerald Isle on Bogue Sound, North Carolina coast. Site of Hurricane Dorian spin-off tornado, September, 5, 2019.__no.0318, 2019.  #Eastcoast",2019
319,"Fairbourne, Wales, at the Mawddach River delta, is built on a natural flood plain formed on deposited sediment from rivers__no.0219, 2019. #UnitedKingdom #Europe #riverdeltas",2019
320,"This is Immediately south of Vatnajokull Glacier and west of Hof, Iceland, in the “Eastern Region” of the country. The glacier’’s name Vatnajokull is roughly translated as “the water glacier,” and it’s Europe’s largest!__no.0320, 2019.",2019
321,"Olfusa River flows into the sea near Eyarbakki in southwest Iceland__no.0321, 2019. #Iceland",2019
322,"Decatur, Alabama:  3-M admits to releasing toxic chemicals into the Tennessee River for over a decade. June 2019.__no.0322, 2019. #Alabama #chemicalpollution #watercontamination #chemicalrelease ",2019
323,"South Lake, Overland Park, Kansas, where a pilot program aims to keep harmful algae from taking over the lake by incorporating a floating wetland__no.0323, 2019. #algae #wetland",2019
324,"Guarello Island, Patagonia, Chile…July 29, 2019…”10,000 gallons of oil spills into Chile’s pristine Patagonia waters, a biodiversity hot-spot at the tip of South America.”—The Guardian.__no.0324, 2019. #SouthAmerica #Oilspills #watercontamination #pollutedwaters",2019
325,"RISD Beach, Barrington, Rhode Island, where environmental sociologist Rebecca Altman (currently writing “An Intimate History of Plastics”) gathered tiny plastic pebbles Sept., 2019.__no.0325, 2019. #Eastcoast #plastic #plasticpebbles #pollution",2019
326,"The Soca River in Slovenia. Grass roots activists are working to defend the Balkan rivers against hydropower projects__no.0326, 2019. #Europe",2019
327,"Sicily and Mainland Italy near Messina and the Mediterranean Sea__no.0327, 2019. #Europe",2019
328,"Akanda National Park, Gabon, Africa, is known for its mangroves and tidal beaches__no.0328, 2019. #Africa #Gabon",2019
329,"Congo River near Brazzaville, Republic of Congo, and Kinshasa, Democratic Republic of Congo. The world’s second largest rainforest in Central Africa’s Congo Basin is disappearing at an alarming rate due to severe deforestation, primarily for subsidence farming by impoverished locals__no.0329, 2019. #Africa",2019
330,"On the west African coast, Banio Lagoon separates the peninsula town of Mayumba, Gabon, from the mainland. It is known for its long sandy beach where leatherback turtles nest__no.0330, 2019. #Africa ",2019
331,"Shala Lake, is in Abidijatta-Shalla National Park in the Ethiopian highlands in the Horn of Africa, and provides breeding grounds for Great White Pelican and Lesser Flamingo__no.0331, 2019 #Africa #wildlife",2019
332,"Crater Lake in Oregon is the deepest lake in the U.S. This active volcanic crater has no rivers into or out of it. Water level is a balance between rainfall, groundwater flow and evaporation…and it’s very blue!__no.0332, 2019.",2019
333,"The Cuanza River, also known as the Coanza, the Quanza, and the Kwanza, is one of the longest rivers in Angola. It empties into the Atlantic Ocean just south of the capital, Luanda__no.0333, 2019. #Africa",2019
334,"“Parc marin des mangroves” (Mangrove National Park) is a wetland in the Democratic Republic of the Congo. Situated at the mouth of the Congo River, it is the country’s only marine park, providing protection to the endangered manatee population)__no.0334, 2019. #Africa #marinepark #manatee",2019
335,"Frequent fog prevents temperatures from falling at night on this long Angolan peninsula at the port city of Luanda on the African South Atlantic coast__no.0335, 2019. #Africa #Africancoast #fog",2019
336,"The Meduna River is one of several in Northeastern Italy referred to as “gravel rivers” because of the large amount of sediment let loose by upstream mountain basin seismic activity. These rivers have braided channels and are becoming prone to flooding__no.0336, 2019.  #Europe #gravelrivers",2019
337,"Erdine River Basin in Turkey’s Erdine Province where a Turkish scientist got a 15-month sentence for publishing an environmental study on the state of the heavily polluted river__no.0337, 2019.  #MiddleEast #riverpollution #waterpollution #freedomofspeech #activism #environentalreporting ",2019
338,"The Black River meets the Cape Fear River in North Carolina. Further upstream the swampy Black River Preserve is home to the 5th oldest tree in the world, a bald cypress__no.0338, 2019. #swamp #Eastcoast",2019
339,"In Maryland’s Blackwater National Wildlife Refuge, rising sea levels are causing “ghost forests” as ground is too wet and too salty to support living trees. —Oct, 2019, Time Magazine__no.0339, 2019. #Maryland #Eastcoast #risingwaters #saltwater #climatechange #sealevelrise #ghostforests",2019
340,"The lower Potomac River, after almost 50 years of pollution control, clean-up and restoration efforts, has seen over 1,000 dophins living, mating and even giving birth, according to researchers. Smithsonian, October, 2019.__no.0340, 2019. #pollutioncontrol #riverrestoration #riverrevival #Eastcoast",2019
341,"Ginnie Springs, near the Santa Fe River, and north of Gainesville, Florida. The Suwannee River Water Management District Board, based in Lake City, FL, is scheduled to vote on a request for a permit to extract more than a million gallons of fresh water a day for the next 20 years from Ginnie Springs. Application is from Seven River Springs which appears to supply water to Swiss conglomerate Nestle. August 2019.__no.0341, 2019. #waterextraction #freshwatersupply #NestleCompany #springwaterextraction",2019
342,"On the eastern shores of the Bering Sea, in the Unalakleet River at Unalakleet, Alaska, pink salmon are found dead due to the temperatures into the low 90’s. July, 2019.__no.0342, 2019.  #risingtemperatures",2019
343,"Unalakleet River Delta at Unalakleet, Alaska__no.0343, 2019.",2019
344,"In September, 2019, people in Switzerland marked the disappearance of the Pizol Glacier with a sign as a way of dealing with their grief__no.0344, 2019. #Europe #grief",2019
345,"Lower Colorado River at the U.S. California/Arizona border. Drought conditions plus population growth inspire the seven states which rely on the over-allocated river to use all available conservation measures__no.0345, 2019. #Southwest #waterconservation #waterallocation",2019
346,"The Euphrates River in Syria, approximately 6 miles south of Turkey’s border and north of the city of Manbij where a U.S. military base was abandoned in October, 2019.__no.0346, 2019.  ",2019
347,"The Tigris River at Baghdad, Iraq…The entire river had decreasing water levels over many years until in April, 2019, rains brought historic high water levels to Iraq reservoirs__no.0347, 2019.",2019
348,"Confluence of the Sai and Chikuma Rivers in Nagano, Japan, where intense rainfall and serious flooding from 2019’s Typhoon Hagibis left 10 bullet trains sitting in a pool of water__no.0348, 2019. #bullettrains #Asia ",2019
349,"The Dnieper River at Kiev, Ukraine, flows from glaciers in central Russia__no.0349, 2019. #DnieperRiver",2019
350,"The Kitimat River, at Kitimat, British Columbia in Canada, is named after First Nations inhabitants of the river valley, the Gitamaat, and means “People of the Falling Snow.”__no.0350, 2019. #Canada #FirstNationspeoples",2019
351,"The Columbia River at Chief Joseph Dam in Bridgeport, Washington, is the second largest hydropower producing dam in the U.S…Because of the lack of fish ladders, the dam completely blocks salmon migrating to the upper Columbia’s river system__no.0351, 2019. #dams #damn",2019
352,"Turneffe Atoll, within Belize’s protected marine area, is the largest and most biologically diverse atoll in the Americas, alive with coral, fish, and large rays (“atoll” : a ring-shaped reef, island, or chain of islands formed of coral.)i__no.0352, 2019. #Belize #biodiversity #marinelife #CentralAmerica #Caribbean",2019
353,"South of San Lorenzo, Honduras, a large and rich nature preserve opens to the Pacific Ocean__no.0353, 2019. #CentralAmerica ",2019
354,"Honduras at Caribbean Sea coastline. The lagoon “Laguna de Los Micos” derives its name from the white-faced monkeys or “micos” which frequent the mangroves__no.0354, 2019  #CentralAmerica #mangroves",2019
355,"The James River in South Dakota may not drop below flood stage between October 2019 and the start of next year’s flood season__no.0355, 2019.  #flooding",2019
356,"The Gila River, here just north and east of Yuma, Arizona, is endangered from diminishing snowpack source water, increasing temperatures, and a proposed diversion project__no.0356, 2019.  #watershortage #risingtemperatures #waterdiversion",2019
357,"The new (2019) Calaveras Dam in California replaces the “seismically vulnerable 93-year old dam.” The reservoir, northeast of San Jose, will be the largest to serve the San Francisco area when full__no.0357, 2019.",2019
358,"Coyote Creek and salt ponds in south San Francisco Bay. Many salt ponds are slowly being converted to marsh land and buffer zones through the South Bay Salt Pond Restoration Project in coordination with Cargill (Salt)__no.0358, 2019. #California #saltponds",2019
359,"Deschutes River at Warm Springs Indian Reservation in Central Oregon, which has been without safe drinking water since a pipe broke 5 months ago (Spring 2019) affecting 4,000 people. Emergency bottled water distribution is underway__no.0359, 2019.  #potablewater ",2019
360,"Devil’s Lake in North Dakota at Fort Totten on Spirit Lake Reservation__no.0360, 2019. ",2019
361,"The Yamuna River at New Delhi, India, is a collection of 18 drains flowing into it, carrying a toxic cocktail of sewage, chemicals, detergents, and industrial waste. Less than 10% of sewage discharged into the river is treated. A froth of foam from the pollution makes for surreal photographs which belie the seriousness of the situation__no.0361, 2019.  #waterpollution #watercontamination #toxicwaters #toxicchemicals #publichealthrisk #industrialwaste",2019
362,"The Mississippi River makes a dramatic loop at New Madrid, Missouri, primary site of the New Madrid Seismic Zone, active periodically and considered the most dangerous earthquake region east of the Rockies. In the quake of 1811-12 the Mississippi was said to have flowed backwards__no.0362, 2019. ",2019
363,"On the Mississippi River, Memphis, Tennessee, sits atop the “Memphis aquifer” known to provide top quality drinking water. But there’s concern about the arsenic from coal ash permeating the clay barrier and contaminating the aquifer’s regional water supply layer below__no.0363, 2019.  #watercontamination",2019
364,"William Baker Oliver Lake looks more like a river, and runs just north of the NOAA National Water Center at the University of Alabama in Tuscaloosa. It is the first national water resources facility in the country and one of several locations for the NOAA Office of Water Prediction__no.0364, 2019.  #NOAA #NationalWaterCenter ",2019
365,"Reelfoot Lake in Tennessee was formed during earthquakes of 1811-12 at the New Madrid fault. Land sank and Mississippi waters created this shallow marsh and wildlife refuge__no.0365, 2019. #Tennessee #NewMadridfault",2019
366,"Indiana Dunes on Lake Michigan’s shore became the nation’s 61st National Park in February of 2019. Just 6 months later, steel company Arcelor Mittal spilled cyanide and ammonia into the lake. Hundreds of dead fish caused officials to close the beaches for days__no.0366, 2019. #GreatLakes #waterpollution #toxicspill",2019
367,"Unnamed configuration of creeks north of Lake Milton, south of Newton Falls, Ohio__no.0367, 2019.",2019
368,"The Prairie River joins the St Lawrence River north of Montreal, Canada__no.0368, 2019.",2019
369,"Winooski River at Lake Champlain, Vermont, north of Burlington__no.0369, 2019. #Vermont",2019
370,"Waters of “Lady Evelyn-Smoothwater Provincial Park,” Ontario, Canada, located in the heart of the Temagami region and center of 2400 kilometers (1400+ miles) of interconnected canoeing network, thousands of years old__no.0370, 2019. ",2019
371,"Thousands of egg-shaped balls of ice covered a beach in Finland. These “ice eggs” are a rare weather phenomenon, in which small pieces of ice roll over and over with winds and water affecting the shape and smooth surfaces_+no.0371, 2019.",2019
372,"The Susquehanna River, southeast of Harrisburg, Pennsylvania, surrounds the site of the Three Mile Island Nuclear Generating Station where reactor number 2 had a partial meltdown and leak in 1979. The plant closed down entirely in September, 2019__no.0372, 2019. #nuclearreactors #nuclearenergy",1979
373,"Colorado River at Gila River, Phoenix, Arizona__no.0373, 2019. ",2019
374,"Cape Cod Bay at Provincetown, Massachusetts__no.0374, 2019.",2019
375,"The drying Mother of Ducks Lagoon, Guyra, New South Wales, in Australia, where drought and water crisis have led to a new pipeline to a nearby dam so that water doesn’t have to be trucked in__no.0375, 2019. ",2019
376,"The Allegheny River and Monongahela River converge at Pittsburgh, Pennsylvania, to form the Ohio River. Monongahela is a Unami word meaning “falling banks.”__no.0376, 2019.",2019
377,"Colorado River in western Colorado, near the town of Antlers__no.0377, 2019. ",2019
378,"Sheffield Cove and Mackerel Cove, Jamestown, Rhode Island. The coves, divided by Beavertail Road, are popular quahogging locations__no.0378, 2019. #Eastcoast",2019
379,"Wareham River at Buzzard’s Bay near Onset and Cape Cod, Massachusetts__no.0379, 2019.  #Eastcoast",2019
380,"Lighthouse Beach at Edgartown, and Chappaquiddick Island, on Martha’s Vineyard, Massachusetts__no.0380, 2019.  #Eastcoast",2019
381,"Along Maine’s Atlantic coast Georgetown Island has more than 80 miles of shoreline__no.0381, 2019.  #Maine #Eastcoast ",2019
382,"East River at Onset, Wareham, Massachusetts, due east of Marc Anthony’s (pizza), and west of the Bourne Bridge to Cape Cod__no.0382, 2019. #Massachusetts #pizza",2019
383,"Eel Pond and waters at Woods Hole Oceanographic Institution, “the world’s largest, non-profit ocean science research and education institution,” in Woods Hole, Massachusetts, on Cape Cod__no.0383, 2019. #Eastcoast",2019
384,"Cape Cod’s “Sandy Neck Barnstable Harbor Area of Critical Environmental Concern” includes one of the largest barrier beach systems in New England. It includes extensive salt marsh habitat. This designation is an initiative of the Marine Conservation Institute headquartered in Seattle, Washington__no.0384, 2019.  #Massachusetts #CapeCod ",2019
385,"Venice, Italy, endures rains with historic flooding reflecting both sinking land and rising waters__no.0385, 2019.  #subsidence",2019
386,"Mississippi River at St. James, Louisiana, west of New Orleans. The sharp bend in the river provides a challenge to longer barge traffic on the river__no.0386, 2019. ",2019
387,"Gulf of Mexico waters just inland of Padre Island, south Texas__no.0387, 2019.",2019
388,"Yukon River, Alaska__no.0388, 2019.",2019
389,"Melting sea ice at Pond Inlet, Nunavut, Canada. Sea ice is important habitat for polar bears and seals….”Extraordinarily warm fall a big problem in Canadian Arctic”—The Canadian Press, November 24, 2019.__no.0389, 2019.  #climatechange",2019
390,"Kansas River east of Manhattan, Kansas__no.0390, 2019.",2019
391,"Unnamed river delta at the Celebes Sea, Tarakan, Indonesia__no.0391, 2019. ",2019
392,"Tai Lam Chung Reservoir in western Hong Kong region__no.0392, 2019.",2019
393,"Far western Russia’s Reka (River) Chelomdzha becomes Reka Tauy as it approaches the Sea of Okhotsk north of Japan__no.0393, 2019. #Russia",2019
394,"Cape Vankarem on Russia’s Northeast Chukchi Sea coast. The village of Vankarem’s population is 184.__no.0394, 2019.  #Russia",2019
395,"Point Hope is an Alaskan village high above the arctic circle where the Bering and Chukchi Seas meet. Ninety percent of the “spit” sticking out into the ocean has disappeared.  Point Hope is said to be the oldest continuously inhabited village in all of North America with over 2500 years of recorded history__no.0394, 2019. #Alaska #historicsite #risingwaters",2019
396,"The Diomede Islands are located in the middle of the Bering Strait between mainland Alaska and Siberia. They are separated by the international date line causing Big Diomede Island, owned by the Russians, to also be called “Tomorrow Island.”__no.0396, 2019.",2019
397,"The Magdalen Islands, a windswept archipelago in Canada’s Gulf of St. Lawrence used to be protected by ice. Now the island is “crumbling into the sea.”—October 1, 2019, Washington Post__no.0397, 2019.  #Canada  #climatechange",2019
398,"Kivalina, Alaska, is on alert for contaminants, lead, cadmium, mercury, etc., from the remote upstream Red Dog Mine, the world’s largest producer of zinc__no.0398, 2019. #toxicminerals #miningpollutants #watercontamination ",2019
399,"East of Alaska’s Togiak National Wildlife Refuge: Lake Chanekuktuli, Nuyakuk Lake, Lake Beverley, Lake Nerka, Lake Aleknagit, Lake Nunavagaluk__no.0399, 2019. #Alaska",2019
